issue_type_id,bim360_account_id,bim360_project_id,issue_type,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
16724ad1-f92a-4ad3-8838-5a66367a60c5,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Coordination,true,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
e2ca43a8-547d-4b55-b6eb-6e0441a2e3cb,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Warranty,false,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
d5584757-a911-4910-b7f9-4ae77da54a2a,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Work List,false,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
b7841417-1299-42ac-868f-f6d2b4aa8fe0,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Commissioning,true,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
9789f339-0536-45c4-9f93-8a82c92cf518,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Punch List,true,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
76004cb0-3bf4-4e43-9e3d-9ca1baa57c72,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Safety,true,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
96dcab33-0281-419e-a4cb-c14824f3a2b8,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Design,true,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
f1173c43-737a-4e2d-94b5-be581e8d0a38,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Observation,true,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
5eb5f49a-c98c-4f69-a24e-3793cc7e391f,49df69ab-c266-4d49-951c-031b16f7a31f,b082d78a-e1db-4c5c-b06e-eb73fd47a766,Quality,true,System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),System,Wed Jan 08 2020 15:35:00 GMT+0000 (Coordinated Universal Time),,
62b728c4-bc21-49d5-9ce2-144ed9519c37,49df69ab-c266-4d49-951c-031b16f7a31f,e3b35ade-be04-4d19-a79a-81e3ba81179e,Coordination,true,,Tue Oct 16 2018 11:24:34 GMT+0000 (Coordinated Universal Time),,Thu Nov 08 2018 07:43:05 GMT+0000 (Coordinated Universal Time),,
